1 3.81221 20
2 1.33048 12
3 0.044312 2
4 3.74838 20
5 0.313561 9
1 1.60275 13
2 0.137721 5
3 0.114277 4
4 3.07454 18
5 0.695785 13
1 0.1661 4
2 0.931563 10
3 1.21775 13
4 2.12833 15
5 0.320121 9
1 1.13758 11
2 2.26226 17
3 1.479 16
4 0.159514 6
5 0.476158 11
1 6.51569 26
2 6.51673 26
3 1.66751 17
4 0.828583 14
5 1.11505 16
1 0.0445125 2
2 0.928606 10
3 0.742959 9
4 0.653451 10
5 0.518733 11
1 8.77174 30
2 3.18961 20
3 0.568219 12
4 0.595843 11
5 6.08372 32
1 0.0498372 2
2 1.58464 13
3 0.69837 13
4 0.736555 12
5 0.614697 12
1 0.0172847 1
2 0.217315 5
3 0.0397685 2
4 2.12306 15
5 2.73915 17
1 1.11542 11
2 7.01555 27
3 0.329427 6
4 2.20623 17
5 12.8783 37
1 2.77127 17
2 1.5015 18
3 0.102505 4
4 0.389788 10
5 2.56955 22
1 1.34461 12
2 0.16242 6
3 0.930422 10
4 4.22556 21
5 0.77027 13
1 0.589178 8
2 1.85719 14
3 1.92773 20
4 2.72161 17
5 0.575043 12
1 1.34145 12
2 2.10928 15
3 1.59037 13
4 0.732154 13
5 0.474154 11
1 0.568622 8
2 0.0521394 2
3 1.84042 14
4 0.24769 8
5 0.925313 10
1 0.314068 6
2 0.562098 10
3 1.32173 12
4 0.473619 11
5 0.10172 4
1 7.60756 28
2 6.17232 27
3 1.29719 17
4 6.69471 28
5 0.202164 7
1 0.447942 7
2 0.442957 7
3 1.14108 11
4 0.785824 13
5 0.406189 8
1 0.319819 6
2 1.81831 14
3 3.43023 19
4 0.0786449 3
5 1.1799 14
1 0.74936 9
2 1.64146 16
3 4.27244 22
4 0.0436829 2
5 2.69758 23
1 1.8504 14
2 0.104427 4
3 0.144416 5
4 0.579768 12
5 0.234935 6
1 4.2301 21
2 0.700259 11
3 0.0713758 3
4 1.5924 18
5 0.155605 6
1 5.0701 23
2 1.24358 13
3 1.13788 16
4 0.899634 14
5 0.195796 7
1 3.08015 18
2 2.65212 17
3 1.24901 12
4 0.887339 14
5 0.313333 9
1 0.235541 5
2 2.41756 16
3 0.442386 7
4 1.14082 16
5 6.69167 28
1 1.578 13
2 8.34051 31
3 4.27123 23
4 1.62937 17
5 0.156777 6
1 2.44231 16
2 0.105506 4
3 1.22753 13
4 1.17367 14
5 0.704775 13
1 0.590506 8
2 0.31635 6
3 1.17467 14
4 0.174794 6
5 0.97826 15
1 0.59978 8
2 0.693539 13
3 0.100705 4
4 0.323889 6
5 7.67123 29
1 1.84557 14
2 0.20035 7
3 0.99198 15
4 0.16482 6
5 0.246558 8
1 0.747249 9
2 0.148368 4
3 1.84844 14
4 0.780474 13
5 0.171403 6
1 1.58013 13
2 0.916312 10
3 0.446299 7
4 1.12145 16
5 0.113879 4
1 1.82157 14
2 3.07629 18
3 0.374093 10
4 0.0170595 1
5 1.38564 17
1 0.577757 8
2 4.647 22
4 0.882866 12
1 1.08269 10
2 0.647117 10
3 3.81462 20
4 0.826194 13
5 0.768618 13
1 1.59594 13
2 0.740993 9
3 6.58871 26
4 0.177088 6
5 0.472636 11
1 0.241659 5
2 0.430502 7
3 2.13685 15
4 1.69646 15
5 0.153844 5
1 3.08789 18
2 0.518782 9
3 0.714426 13
4 0.0185481 1
